bus_index,bus_label,true_vm_pu,true_va_deg,pandapower_vm_pu,pandapower_va_deg,pandapower_vm_err_pu,pandapower_va_err_deg,Rust_StateRustimation_vm_pu,Rust_StateRustimation_va_deg,Rust_StateRustimation_vm_err_pu,Rust_StateRustimation_va_err_deg
101,101,1.05000000,36.09706655,1.04999447,36.12925972,5.52856029e-06,3.21931705e-02,1.05020015,36.11886718,2.00151693e-04,2.18006287e-02
102,102,1.05000000,36.13998143,1.04980585,36.18942237,1.94152991e-04,4.94409411e-02,1.05000821,36.17899592,8.21387313e-06,3.90144834e-02
103,103,1.05000000,36.13998143,1.04939907,36.17447392,6.00934131e-04,3.44924886e-02,1.04960153,36.16405229,3.98469331e-04,2.40708583e-02
104,104,1.05000000,35.97062556,1.04999714,35.98017106,2.86357171e-06,9.54549560e-03,1.05020212,35.96984101,2.02117290e-04,7.84557637e-04
105,105,1.05000000,35.97062556,1.04991388,35.98965722,8.61188076e-05,1.90316530e-02,1.05011888,35.97932306,1.18880036e-04,8.69749854e-03
106,106,1.05000000,35.97062556,1.05087614,35.96708770,8.76139309e-04,3.53786329e-03,1.05108082,35.95676777,1.08082155e-03,1.38577920e-02
107,107,1.05000000,35.15363897,1.04939573,35.15619338,6.04265065e-04,2.55441199e-03,1.04959222,35.14614487,4.07781659e-04,7.49410399e-03
108,108,1.04998407,1.15572516,1.05002852,1.15940105,4.44464165e-05,3.67588881e-03,1.05015557,1.15929260,1.71494436e-04,3.56743996e-03
109,109,1.05000000,5.69955579,1.05022705,5.68018090,2.27053058e-04,1.93748917e-02,1.05039875,5.67841995,3.98750776e-04,2.11358455e-02
110,110,1.05000000,5.69197576,1.05006780,5.68543810,6.78033272e-05,6.53766934e-03,1.05023931,5.68367735,2.39305672e-04,8.29841372e-03
111,111,1.05031128,2.62420263,1.05029847,2.62767013,1.28014069e-05,3.46749892e-03,1.05041955,2.62728943,1.08270575e-04,3.08680185e-03
112,112,1.05000000,6.91918677,1.04973908,6.91525463,2.60917821e-04,3.93214569e-03,1.04990958,6.91321922,9.04222687e-05,5.96755365e-03
113,113,1.05000000,7.19604847,1.04973264,7.18952290,2.67359267e-04,6.52556452e-03,1.04990629,7.18734001,9.37110641e-05,8.70845567e-03
114,114,1.04928162,8.93401075,1.04925299,8.93693187,2.86265713e-05,2.92112186e-03,1.04940914,8.93478355,1.27521522e-04,7.72805906e-04
115,115,1.05000000,19.25277995,1.05052113,19.27479099,5.21130335e-04,2.20110361e-02,1.05073914,19.26739697,7.39135640e-04,1.46170205e-02
116,116,1.05000000,19.17683750,1.04991632,19.16103242,8.36780711e-05,1.58050818e-02,1.05013398,19.15371147,1.33983450e-04,2.31260271e-02
117,117,1.05000000,17.13934643,1.04990533,17.15701135,9.46661456e-05,1.76649233e-02,1.05010338,17.15114934,1.03378366e-04,1.18029093e-02
118,118,1.04416437,-2.21992627,1.04418818,-2.21508472,2.38098596e-05,4.84155023e-03,1.04430432,-2.21445663,1.39958230e-04,5.46963544e-03
119,119,1.05000000,0.92941522,1.04982611,0.94301007,1.73893197e-04,1.35948456e-02,1.05002103,0.94193128,2.10287359e-05,1.25160568e-02
120,120,1.05000000,0.90549818,1.05021582,0.92143827,2.15823778e-04,1.59400968e-02,1.05041019,0.92037436,4.10187681e-04,1.48761801e-02
121,121,1.00000000,-2.22212361,1.00005246,-2.22223048,5.24596893e-05,1.06864876e-04,1.00024751,-2.22190374,2.47506832e-04,2.19869500e-04
122,122,1.04898036,1.00005897,1.04902841,1.00338035,4.80496765e-05,3.32138472e-03,1.04915737,1.00332802,1.77013466e-04,3.26905362e-03
123,123,1.05000000,9.32826087,1.05093917,9.33891419,9.39165489e-04,1.06533247e-02,1.05107614,9.33695563,1.07614364e-03,8.69476301e-03
